,rouge-1n,number of Unique sentences,title,source
0,0.23529411266435996,1,the-last-of-the-mohicans-chapter-3-source-stable-16,cliffnotes
1,0.0,1,the-last-of-the-mohicans-chapter-3-source-stable-4,cliffnotes
2,0.4121212076091828,2,the-last-of-the-mohicans-chapter-3-source-stable-13,cliffnotes
3,0.19438284836654918,1,the-last-of-the-mohicans-chapter-3-source-stable-15,cliffnotes
4,0.18518518062414277,1,the-last-of-the-mohicans-chapter-4-source-stable-4,cliffnotes
5,0.11833784677791308,1,the-last-of-the-mohicans-chapter-4-source-stable-10,cliffnotes
6,0.4680851014395655,1,the-last-of-the-mohicans-chapter-4-source-stable-5,cliffnotes
7,0.12307691881656818,1,the-last-of-the-mohicans-chapter-4-source-stable-9,cliffnotes
8,0.3333333285333334,1,the-last-of-the-mohicans-chapter-4-source-stable-13,cliffnotes
9,0.42424241924701567,1,the-last-of-the-mohicans-chapter-4-source-stable-19,cliffnotes
10,0.359999995008,1,the-last-of-the-mohicans-chapter-5-source-stable-1,cliffnotes
11,0.1525096479353486,1,the-last-of-the-mohicans-chapter-5-source-stable-5,cliffnotes
12,0.17903617411274886,1,the-last-of-the-mohicans-chapter-5-source-stable-6,cliffnotes
13,0.3018867882378071,1,the-last-of-the-mohicans-chapter-5-source-stable-11,cliffnotes
14,0.34999999505000007,1,the-last-of-the-mohicans-chapter-5-source-stable-14,cliffnotes
15,0.34999999501250006,1,the-last-of-the-mohicans-chapter-5-source-stable-15,cliffnotes
16,0.1424747741718433,3,the-last-of-the-mohicans-chapter-6-source-stable-17,cliffnotes
17,0.13333332845432116,1,the-last-of-the-mohicans-chapter-6-source-stable-4,cliffnotes
18,0.278937376685474,2,the-last-of-the-mohicans-chapter-6-source-stable-10,cliffnotes
19,0.114285709779592,1,the-last-of-the-mohicans-chapter-6-source-stable-15,cliffnotes
20,0.19354838210197725,1,the-last-of-the-mohicans-chapter-6-source-stable-16,cliffnotes
21,0.28571428091428575,1,the-last-of-the-mohicans-chapter-6-source-stable-19,cliffnotes
22,0.07407407105624156,1,the-last-of-the-mohicans-chapter-6-source-stable-20,cliffnotes
23,0.21014211439055056,2,the-last-of-the-mohicans-chapter-9-source-stable-7,cliffnotes
24,0.12909387136271072,1,the-last-of-the-mohicans-chapter-9-source-stable-6,cliffnotes
25,0.17021276161158908,1,the-last-of-the-mohicans-chapter-9-source-stable-9,cliffnotes
26,0.2571428521469389,1,the-last-of-the-mohicans-chapter-12-source-stable-15,cliffnotes
27,0.22222221760802477,1,the-last-of-the-mohicans-chapter-12-source-stable-6,cliffnotes
28,0.18181817682277332,1,the-last-of-the-mohicans-chapter-12-source-stable-4,cliffnotes
29,0.2777777727932099,1,the-last-of-the-mohicans-chapter-15-source-stable-7,cliffnotes
30,0.22727272253099182,1,the-last-of-the-mohicans-chapter-15-source-stable-15,cliffnotes
31,0.29374999508789074,2,the-last-of-the-mohicans-chapter-15-source-stable-19,cliffnotes
32,0.17752234557361177,1,the-last-of-the-mohicans-chapter-16-source-stable-1,cliffnotes
33,0.0,1,the-last-of-the-mohicans-chapter-16-source-stable-2,cliffnotes
34,0.2926829219036289,1,the-last-of-the-mohicans-chapter-16-source-stable-5,cliffnotes
35,0.181818177043159,1,the-last-of-the-mohicans-chapter-16-source-stable-18,cliffnotes
36,0.2127659540968765,1,the-last-of-the-mohicans-chapter-16-source-stable-21,cliffnotes
37,0.14814814370370383,1,the-last-of-the-mohicans-chapter-17-source-stable-18,cliffnotes
38,0.1052631542797785,1,the-last-of-the-mohicans-chapter-17-source-stable-29,cliffnotes
39,0.1363636315289258,1,the-last-of-the-mohicans-chapter-17-source-stable-30,cliffnotes
40,0.19354838210197725,1,the-last-of-the-mohicans-chapter-17-source-stable-20,cliffnotes
41,0.14098299581151852,1,the-last-of-the-mohicans-chapter-22-source-stable-0,cliffnotes
42,0.3599999950720001,1,the-last-of-the-mohicans-chapter-22-source-stable-7,cliffnotes
43,0.5581395299513251,1,the-last-of-the-mohicans-chapter-22-source-stable-16,cliffnotes
44,0.21621621121986864,1,the-last-of-the-mohicans-chapter-22-source-stable-18,cliffnotes
45,0.4999999950347222,1,the-last-of-the-mohicans-chapter-22-source-stable-21,cliffnotes
46,0.15999999500800016,1,the-last-of-the-mohicans-chapter-22-source-stable-23,cliffnotes
47,0.30112044341795546,1,the-last-of-the-mohicans-chapter-25-source-stable-3,cliffnotes
48,0.11428571020408178,1,the-last-of-the-mohicans-chapter-25-source-stable-20,cliffnotes
49,0.4999999950000001,1,the-last-of-the-mohicans-chapter-25-source-stable-17,cliffnotes
50,0.3111111062320988,1,the-last-of-the-mohicans-chapter-25-source-stable-27,cliffnotes
51,0.666666661781451,1,the-last-of-the-mohicans-chapter-26-source-stable-10,cliffnotes
52,0.3030302985858586,1,the-last-of-the-mohicans-chapter-26-source-stable-6,cliffnotes
53,0.577777772780247,1,the-last-of-the-mohicans-chapter-26-source-stable-3,cliffnotes
54,0.10591132508877033,1,the-last-of-the-mohicans-chapter-27-source-stable-13,cliffnotes
55,0.49999999555555563,1,the-last-of-the-mohicans-chapter-27-source-stable-16,cliffnotes
